A qual  programa esta vinculado?;Ha quanto tempo esta vinculado ao referido Programas de Pos-Graduacao?;Como voce avalia a qualidade das aulas e do material utilizado?[Qualidade das aulas];Como voce avalia a qualidade das aulas e do material utilizado? [Material didatico utilizado nas disciplinas];Como voce avalia a qualidade das aulas e do material utilizado? [Acervo disponivel para consulta];Como voce avalia a infraestrutura do programa? [Infraestrutura geral];Como voce avalia a infraestrutura do programa? [Laboratorios de pesquisa/Salas de estudo];Como voce avalia a infraestrutura do programa? [Insumos para pesquisa];Como voce avalia o relacionamento entre voce e: [os discentes];Como voce avalia o relacionamento entre voce e: [os demais professores do programa];Como voce avalia o relacionamento entre voce e: [a comissao coordenadora];Como voce avalia o relacionamento entre voce e: [a secretaria do programa];Como voce avalia a gestao do programa? [Processo de gestao/Administrativo do Programa];Como voce avalia a gestao do programa? [Organizacao do Programa];Como voce avalia o seu conhecimento acerca: [do seu papel enquanto orientador];Como voce avalia o seu conhecimento acerca: [do Regimento Interno do Programa];Como voce avalia o seu conhecimento acerca: [do Regimento Geral da Pos-Graduacao];Como voce avalia o seu conhecimento acerca: [normas Capes];Como voce avalia o seu conhecimento acerca: [processo de avaliacao da Capes];Em relacao aos PROJETOS DE PESQUISA orientados por voce nesse Programa, voce esta:;Em relacao à sua PRODUcaO CIENTiFICA relacionada à esse Programa, voce esta:;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia social?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa possuem relevância e pertinencia econômica?;Voce acredita que os projetos de pesquisa orientados por voce nesse Programa promovem avanco cientifico?;O seu Programa possui visao, missao e objetivos claros?;Voce acredita que os projetos de pesquisa orientados por voce nesse programa estao alinhados com o objetivo e missao de seu Programa?;Quais sao os principais atores que podem ser impactados pelas pesquisas sob sua orientacao nesse Programa e das producoes cientificas delas decorrentes? (Marque todas que se aplicam).;Voce tem iniciativa de prover captacao de recurso externo para o desenvolvimento de seus projetos de pesquisa (exceto bolsa)?;Na sua opiniao, o que e preciso para que o seu Programa tenha producao de conhecimento cientifico e tecnologico qualificado, reconhecido pela comunidade cientifica internacional da area em que atua?;Producao de inovacao tecnologica e uma prioridade em seu programa de pos-graduacao?;Voce acredita que a linha de pesquisa em que atua nesse Programa se destaca pela producao de inovacao tecnologica?;Voce ja depositou alguma patente proveniente dos resultados das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Alguma tecnologia de APLICAcaO SOCIAL ja foi criada como resultado das pesquisas por voce orientadas nesse Programa, ou possui isso como um dos objetivos de algum desses projetos de pesquisa?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento voltado para a COMUNIDADE, ou pretende apresentar?;Os resultados das pesquisas por voce orientadas ja foram apresentados em algum evento CIENTiFICO, ou pretende apresentar?;Os projetos de pesquisa sob sua orientacao poderao gerar solucoes para os problemas que a sociedade enfrenta ou vira a enfrentar?;Quais os principais impactos sociais a serem promovidos por seus projetos de pesquisa? (Marque todas aplicaveis);Qual o nivel de internacionalizacao do seu programa?;No momento, ha interesse por parte do seu Programa de Pos-Graduacao em iniciar um processo de Internacionalizacao?;Voce se sente preparado para a internacionalizacao do seu Programa de Pos-Graduacao?;Voce entende que o seu Programa de Pos-Graduacao esta preparado para a internacionalizacao?;Voce possui projetos de pesquisa em parceria com instituicoes internacionais de pesquisa ou ensino?;Qual o seu nivel de proficiencia em lingua inglesa?;Sinto-me capacitado para oferecer disciplinas em lingua inglesa:;Gostaria de adicionar algum comentario referente ao Programa de Pos-Graduacao em questao?;Gostaria de adicionar algum comentario referente à Pro-Reitoria de Pesquisa e Pos-Graduacao?
Quimica em Rede Nacional PROFQUI;Entre 4 e 12 anos;1;1;2;2;2;2;1;2;1;3;1;2;1;2;2;2;2;4;3;4;3;3;Sim;5;Sociedade;Nao;;Nao;;;Nao;Sim, em um evento local;Sim, em um evento nacional;3;Transferencia de conhecimento para a sociedade;0;Nao;;;Nao;3;0;;
Fisica;Menos de 4 anos;4;5;5;5;5;4;4;4;5;4;4;4;5;5;5;4;4;5;5;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Uma articulacao maior entre as ciencias basicas e as engenharias;Sim;Sim;Nao;Nao;Nao;Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;3;3;;
Zootecnia;Mais de 12 anos;5;4;4;4;4;3;5;4;3;5;3;3;5;5;5;4;5;3;3;4;4;5;Nao;;Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Um melhoria no entendimento dessa questao pela atual coordenacao do programa.;Nao;;;Nao;Sim, em um evento internacional;Sim, em um evento internacional;4;Licenciamento de processos ou produtos, Avanco cientifico;3;;4;3;Sim;3;3;;
Educacao;Entre 4 e 12 anos;4;4;4;5;5;1;5;5;5;5;5;5;5;5;4;5;5;4;4;5;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Nao;Bolsas para que os discentes possam se dedicar a suas pesquisas;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;1;;2;3;Nao;1;0;Estamos lutando para sobreviver;
Extensao Rural;Menos de 4 anos;5;4;2;3;3;2;5;4;5;5;5;5;4;4;3;3;3;4;3;5;2;3;Nao;;Sociedade, Outros Pesquisadores, Agencias Governamentais, Agencias privadas e da sociedade civil de extensao rural;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Maior capacitacao em ingles, apoio para traducao, disciplinas ministradas em outras linguas, acesso ampliado a periodicos internacionais, recursos para realizacao de eventos internacionais.;Nao;;;Nao;Sim, em um evento local;Sim, em um evento regional, Sim, em um evento nacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Melhoria na qualidade de vida da populacao local;3;;4;2;Nao;3;3;;
Ensino de Fisica - PROFIS;Entre 4 e 12 anos;3;4;5;5;5;4;5;5;5;4;4;4;4;3;3;3;3;4;3;4;3;4;Sim;4;Sociedade;Nao;"Empenho maior da equipe e sintonia com grandes grupos de pesquisa nacional e internacional. 
";Nao;;;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local;2;;3;3;Nao;3;0;;
Medicina Veterinaria;Menos de 4 anos;5;4;4;5;4;4;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Estimulo para projetos de ponta em biotecnologias e para publicacao em revista de maior impacto;Sim;Sim;Nao;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;5;;5;4;Sim;4;5;Programa tem atendido minhas expectativas;Tenho pouco contato com a pro-reitoria
Matematica;Menos de 4 anos;5;5;5;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;"Intercâmbios em outras instituicoes nacionais e internacionais;
Bolsas de pos-doutorado;
Vagas para contratacao de mais docentes;
Bolsas de Iniciacao cientifica, mestrado e doutorado;
Financiamento de projetos de pesquisa e de extensao.";Nao;;;Sim;Sim, em um evento nacional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Sim;4;3;;
Entomologia;Entre 4 e 12 anos;5;5;5;5;5;5;5;4;2;2;1;2;4;4;3;3;3;4;4;5;5;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;"acredito que a gestao e muito tacanha e centrada num pequeno grupo de pessoas, muitas das quais nao atuando na totalidade do grupo
";Nao;;;Sim;Sim, em um evento regional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;5;;5;4;Sim;5;5;;
Ciencia Florestal;Entre 4 e 12 anos;4;4;5;4;5;4;4;4;4;5;4;4;4;4;4;4;4;3;3;3;4;3;Sim;4;Produtores rurais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais publicacoes com fator de impacto ;Sim;Nao;Nao;Nao;Sim, em um evento regional;Sim, em um evento internacional;1;Melhoria na qualidade de vida da populacao local;3;;2;2;Nao;2;0;Nao;Nao
Genetica e Melhoramento;Entre 4 e 12 anos;4;4;4;4;4;4;5;5;5;5;5;5;5;4;4;4;4;3;3;5;5;5;Sim;5;Sociedade, Empresas;Sim, junto a agencias de fomento governamentais;Eu acredito que a PPG esta muito preocupada com a comunidade cientifica internacional e pouco preocupada com nossa agricultura tropical. Estou certo de nosso lugar: somos referencias para muitos paises da America do Sul, africa e alguns paises asiaticos e temos paises de primeiro mundo como referencia. NUNCA me preocupei em ser reconhecido pela comunidade internacional, mas sempre me preocupei em formar bem os estudantes de mestrado e doutorado preparando-os para o mercado privado ou para academia e em publicar bem nossos trabalhos em periodicos internacional. Eu sempre incentivei meus orientados a fazer parte do doutorado em alguma universidade americana ou europeia, para aprender com eles. Nos podemos aprender muito com eles. Mas nao acredito em estudantes de universidades americanas ou europeias sairem de seus paises para fazer intercâmbio aqui. Assim, como nao acredito em disciplinas sendo oferecidas em ingles na UFV. Infelizmente, muito de nossos alunos nao sabem escrever bem em portugues e desejam que ele faca aula e escreva em ingles. Estamos preocupados de mais em internacionalizacao e nao nos esforcando para desenvolver carencias na base de nossos programas. Acho que estamos comecando ao construcao da casa pela telhado. Precisamos fazer uma autocritica. ;Nao;;;Nao;Sim, em um evento local;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;3;3;Sim;4;0;Nao.;Eu reforco aqui que a PPG esta muito preocupada com internacionalizacao enquanto nossos estudantes (quase todos pos-graduando) estao com dificuldades em ciencias basicas como matematica, interpretacao de texto, redacao cientifica etc. Nao vejo um motivo justificavel para um universidade brasileira situada no interior de MG que quase nao recebe estudantes de lingua inglesa nativa esteja tao empenhada em oferecer disciplina em ingles. Vamos fazer um autocritica, pessoal. Nao precisamos recurso humano e financeiro  para oferecer uma disciplina em ingles para estudantes brasileiros, africanos ou de algum pais da america do sul. Eu tenho certeza que isso nao vai gerar internacionalizacao dos programas de pos-graduacao. O que vai levar a internacionalizacao dos programas e: pesquisa de qualidade, conducao de projetos em parceria com pesquisadores estrangeiros, publicacao em periodicos internacionais (muitos brasileiros estao preocupados com quantidade e nao qualidade), formacao bem feita do estudante (mestre ou doutor) para que eles ocupem posicao de destaque em empresas privadas ou publicas ao redor do mundo. Eu conheco alguns ex-alunos do nosso programa (recentes) que nunca foram para o exterior e ja diretores de empresas de renome no Brasil. Precisamos mais disso. Bem, essa a minha humilde opiniao. 
Biologia Animal;Menos de 4 anos;5;4;3;4;4;3;4;4;4;4;3;4;5;3;3;4;3;5;5;4;3;5;Sim;5;Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Mais verba para pesquisa e menos gastos com revistas que estao cobrando caro demais para publicar.;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;5;3;Sim;4;4;;
Economia Aplicada;Mais de 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;3;4;5;5;Sim;5;Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Publicacao das pesquisas em periodicos internacionais com alto fator de impacto.;Sim;Sim;Nao;Sim;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;4;Nao;4;5;;
Ciencia Florestal;Menos de 4 anos;5;5;4;5;5;4;4;4;4;4;4;5;5;3;3;4;3;5;5;4;3;4;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Aumentar os gastos com producao de artigos de alto impacto em boas revistas;Sim;Sim;Sim;Nao;Sim, em um evento local, Sim, em um evento regional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;5;4;Sim;4;4;;
Entomologia;Mais de 12 anos;3;3;3;3;3;3;5;4;5;5;3;3;5;4;5;4;4;4;5;3;4;5;Nao;;Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Sao necessarias boas ideias, criatividade e iniciativa. Alunos com condicoes de participar destas iniciativas tambem sao fundamentais. Recursos financeiros ajudam, mas nem sao o componente mais importante, pois existem.;Nao;;;Nao;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;4;Sim;5;5;Houve melhoria recente de gestao comparada ao quadrienio anterior. O engajamento dos discentes tambem parece ter aumentado.;Vem desenvolvendo bem seu papel e buscando melhorias estrategicas, mesmo que tardias, e dificeis.
Fisica;Mais de 12 anos;4;4;4;4;4;3;5;5;5;5;4;4;4;4;4;4;4;4;4;3;3;4;Sim;4;Empresas, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Mais recursos para equipamentos de ponta;Nao;;;Nao;Sim, em um evento nacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Criacao de novas empresas ou organizacoes sociais, Avanco cientifico;3;;4;3;Sim;4;4;;
Medicina Veterinaria;Mais de 12 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;4;3;5;5;5;5;5;4;5;4;5;4;3;4;3;5;4;4;Sim;5;Sociedade, Empresas;Sim, junto a agencias de fomento governamentais;Acredito que existe um reconhecimento pela comunidade cientifica internacional, porem ainda timido e nesse sentido acredito em maior numero de intercâmbios e necessario;Sim;Sim;Nao;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;4;;4;4;Nao;2;0;sem nada a acrescentar;sem nada a acrescentar
Agroquimica;Mais de 12 anos;5;4;5;4;4;2;5;4;4;5;4;4;5;4;4;3;3;4;3;4;3;5;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;"Maior apoio financeiro às pesquisas e à producao dos artigos; buscar  interacao com Empresas, mas para isso e preciso garantir o bom funcionamento dos laboratorios por meio de manutencao constante dos equipamentos e aquisicao de equipamentos mais modernos.";Sim;Nao;Sim;Sim;;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;2;3;Nao;3;0;Nao;Nao
Biologia Celular e Estrutural;Mais de 12 anos;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;3;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Eu considero que no programa que oriento tem producao de conhecimento cientifico e tecnologico reconhecido pelas comunidades nacional e internacional, mas devemos continuar a produzindo. ;Nao;;;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Avanco cientifico;4;;5;5;Sim;3;2;Nao;Nao
Letras;Mais de 12 anos;5;5;4;5;5;Sem condicoes de avaliar;5;5;5;5;5;5;5;5;5;4;4;5;4;5;3;5;Sim;5;Sociedade, Outros Pesquisadores;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);e necessario que o Programa tenha maior investimento financeiro por parte das agencias de fomento brasileiras para que tenha maior visibilidade nacional e internacional.;Nao;;;Nao;Sim, em um evento regional;Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade;3;;4;4;Nao;3;1;;
Medicina Veterinaria;Menos de 4 anos;5;5;5;4;4;3;5;5;5;5;5;5;5;5;5;4;4;5;3;5;5;5;Sim;5;Sociedade, Empresas, Outros Pesquisadores, Mercado Equestre;Sim, junto a agencias de fomento governamentais;Mais financiamento;Sim;Sim;Nao;Sim;Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Avanco cientifico;5;;3;5;Nao;3;0;;
Administracao;Entre 4 e 12 anos;4;4;4;5;5;3;4;5;5;5;4;4;5;4;4;4;4;5;4;4;4;4;Sim;5;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;;Sim;Sim;Nao;Sim;Sim, em um evento nacional;Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;3;5;Nao;3;2;;
Solos e Nutricao de Plantas;Mais de 12 anos;5;4;4;4;3;4;5;5;5;5;5;5;5;5;5;5;5;4;3;3;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a outras instituicoes de apoio à pesquisa (federais ou estaduais);Uma melhor infraestrutura de equipamentos, uma vez que os recursos para a renovacao e atualizacao do parque analitico do Programa, que ja esta meio defasado. Outro problema ainda nao resolvido e a demora na definicao da maior parte dos projetos de pesquisa, o que atrasa muito os trabalhos. A falta de busca por recursos e mais envolvimento dos orientadores tambem dificultam o melhor andamento do Programa. ;Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;2;;3;3;Nao;3;1;;
Botânica;Mais de 12 anos;4;3;3;3;3;2;4;3;4;4;4;3;4;3;3;4;4;4;4;4;4;4;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;"maior interacao com empresas potencialmente clientes; maior insercao internacional";Nao;;;Sim;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade;2;;4;3;Sim;5;5;"potencial de crescimento; defasagem forte e muita assimetria entre as areas; ";"desenvolve bom trabalho no rumo certo; falta integracao entre os PPG da UFV, o que e historicoe dificil de contornar."
Ciencia Florestal;Mais de 12 anos;4;4;4;4;3;1;5;5;3;5;3;3;4;2;2;3;3;3;3;4;4;5;Nao;;Sociedade, Empresas, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Suporte para acoes sejam desenvolvidas visando atingir o conhecimento cientifico e tecnologico.;Sim;Sim;Nao;Sim;Sim, em um evento internacional;Sim, em um evento internacional;4;Melhoria na qualidade de vida da populacao local;2;;2;2;Nao;1;0;O programa deveria permitir a descentralizacao  das areas visando equilibrar numero de orientados em funcao dos orientadores.  Avaliar possibilidades outras para ingresso no programa alem de somente provas que desqualifica candidatos excelentes para a sua area pretendida em funcao de exame geral sem um proposito definido para a area.  Desburocratizar a utilizacao dos recursos quando vem para o programa e que e especifico aos orientadores e os mesmos nao consegue utilizar em funcao de decisoes unilaterais.;
Educacao em Ciencias e Matematica;Menos de 4 anos;2;4;5;3;3;3;4;4;5;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;4;2;3;2;3;3;5;5;5;Nao;;Sociedade, Outros Pesquisadores;Nao;Nao tenho condicoes de responder no atual contexto.;Nao;;;Nao;Nao;Nao;4;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local;0;Nao;;;Nao;3;0;O programa e muito recente, ainda nao e possivel avalia-lo completamente.;
Microbiologia Agricola;Mais de 12 anos;3;3;3;3;2;1;3;2;2;3;2;2;4;4;3;1;2;3;2;2;5;4;Nao;;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Recursos orcamentarios e estrutura de analises (nucleos) onde os equipamentos funcionem e sejam atualizados. Em mais de 80% das vezes em que precisei, por exemplo, do Nucleo de Biomoleculas, nao consegui ser atendido, pelos motivos mais variados. Orcamento para pesquisa esta zerado. Desenvolvimento cientifico e tecnologico sem aporte de recursos e utopia.;Sim;Sim;Sim;Nao;Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;4;;2;3;Nao;3;0;;
Ciencia e Tec. Alimentos;Mais de 12 anos;4;3;5;3;3;2;4;4;4;5;3;3;4;5;5;3;4;5;4;5;5;4;Nao;;Empresas, Agencias Governamentais;Sim, junto a empresas interessadas nos resultados da pesquisa;Construcao de parcerias publico-privadas com empresas nacionais e internacionais do setor de alimentos;Nao;;;Sim;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Transferencia de conhecimento para a sociedade, Geracao direta ou indireta de emprego e renda, Criacao de novas empresas ou organizacoes sociais, Licenciamento de processos ou produtos, Avanco cientifico;2;;5;2;Sim;4;5;;
Ciencia Florestal;Entre 4 e 12 anos;4;4;5;4;3;3;4;5;5;5;5;5;4;4;4;3;1;4;4;3;4;5;Sim;4;Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Mais publicacao em revistas internacionais. Esforco conjunto tem sido feito com essa finalidade.;Sim;Nao;Nao;Nao;Nao;Sim, em um evento nacional, Sim, em um evento internacional;4;Avanco cientifico;3;;3;4;Nao;4;3;"O programa tem professores de grande gabarito e, nao esquecendo, todos temos uma graduacao para ser atendida. Na graduacao atendi de 2004 a 2015 o curso NOTURNO  de Geografia, atuando por tres periodos na UFV (dois dias por semana). Assim como eu, outros fazem atividades de extensao e ou adminstrativas.
Ja estive 8 anos em instituto de pesquisa. Afirmo: em nenhum local se trabalha tanto como nas universidades.
O relacionamento dos docentes e excelente e os coordenadores nunca nao faltaram as suas responsabilidades, orientando os docentes a cada mudanca da norma.";"A cobranca/preocupacao e conhecimento da auto avaliacao dos docentes e positiva,
 porem, vivemos tempos dificeis. 
Basta ver a chamada -

""CNPq/MCTI n° 29/2020 Projetos de Pesquisa, Desenvolvimento e Inovacao (P,D&I), que visam ao desenvolvimento de produtos e processos biotecnologicos para minimizar ou solucionar problemas ambientais causados pela atividade humana""

No valor de 1 milhao para TODO o Brasil.

valor baixissimo (nao vou utilizar outro adjetivo)

Outro problema: na era digital, ao abrir Editais de compra de computadores um certa empresa de um certo senador ganha,
 A empresa oferece computadores de desempenho baixissimo / vida util relampago.

Conversei com amigos da Universidade de Sta Maria; la, eles conseguem evitar
os computadores de polegar para cima. 
PRECISAMOS FAVER O MESMO
"
Patrimônio Cultural, Paisagens e Cidadania;Menos de 4 anos;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;5;5;5;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;5;4;5;5;5;Sim;5;Sociedade, Outros Pesquisadores, Nenhum, A propria producao academica.;Nao tenho nenhuma captacao no momento, mas iniciativa para tentar. ;Mais recursos financeiros, bolsas para os alunos, estimulo institucional no financiamento de projetos de pesquisa. ;Nao;;;Sim;Ainda nao, pois estou comecando minha primeira orientacao agora, mas com certeza os resultados serao apresentados em eventos para a comunidade futuramente.;Ainda nao, pois estou comecando minha primeira orientacao agora, mas com certeza os resultados serao apresentados em eventos cientificos futuramente.;5;Transferencia de conhecimento para a sociedade, Melhoria na qualidade de vida da populacao local, Avanco cientifico;3;;4;5;Nao;4;0;;
Economia Aplicada;Menos de 4 anos;5;5;5;5;Sem condicoes de avaliar;Sem condicoes de avaliar;4;5;5;5;5;5;4;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;Sem condicoes de avaliar;4;3;5;5;3;Sim;4;Sociedade, Outros Pesquisadores, Agencias Governamentais;Sim, junto a agencias de fomento governamentais;Entrei ha pouco tempo;Nao;;;Nao;Sim, em um evento regional, Sim, em um evento nacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional, Sim, apresentar em orgaos governamentais;5;Transferencia de conhecimento para a sociedade, Avanco cientifico;4;;5;5;Nao;3;2;;
Educacao;Menos de 4 anos;5;4;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;4;5;5;5;Sim;5;Sociedade, Agencias Governamentais;Nao;Bolsas de Estudo para que s mestrandos possam se dedicar em tempo integral à pesquisa.;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;5;Melhoria na qualidade de vida da populacao local;3;;4;4;Nao;3;2;;
Botânica;Entre 4 e 12 anos;3;3;2;3;2;2;3;3;1;1;1;1;3;4;4;4;4;5;4;4;4;4;Nao;;Sociedade, Outros Pesquisadores;Sim, junto a agencias de fomento governamentais;Gerir os  recursos humanos e financeiros  disponiveis de forma a permitir equidade e amplo acesso a a eles para todos os orientadores, e nao apenas a um grupo de pessoas. ;Nao;;;Nao;Sim, em um evento local;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;3;Transferencia de conhecimento para a sociedade, Avanco cientifico;3;;5;4;Sim;4;4;De maneira geral, existe uma enorme disparidade em termos de distribuicao de orientados entre os orientadores, o que e determinante para a manutencao do baixo status da linha de pesquisa na qual atuo. ;Nao. 
Genetica e Melhoramento;Menos de 4 anos;4;4;4;4;4;4;5;4;5;5;5;5;4;4;3;3;3;4;4;4;4;4;Sim;4;Sociedade, Empresas, Outros Pesquisadores;Sim, junto a empresas interessadas nos resultados da pesquisa;Aporte de recursos financeiros;Sim;Sim;Nao;Nao;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;Sim, em um evento local, Sim, em um evento regional, Sim, em um evento nacional, Sim, em um evento internacional;4;Transferencia de conhecimento para a sociedade, Licenciamento de processos ou produtos, Avanco cientifico;4;;3;4;Nao;2;1;;
